cuisine,name,original_name,address,neighborhood,phone
Other,100x Cuisine Inc35,100x Cuisine Inc35,520 WEST AVE CU-3,,305-763-8904
Other,11th Street Diner,11th Street Diner,1065 Washington Avenue,,305-534-6373
Other,1409 Hotel,1409 Hotel,1409 Lincoln Road,,(786) 284-1176
Other,1435 Alton Road,1435 Alton Road,1435 Alton Road,,(305) 397-8846
Other,2671 Subway,,2671 Subway,,1426 ALTON RD,,(305) 538-0441
Other,27,27,2727 Indian Creek Drive,,(786) 476-7020
Other,6080 Collins Star Llc,6080 Collins Star Llc,6080 Collins Avenue,,(786) 598-8705
Other,660 Ocean Drive,,660 Ocean Drive,,660 Ocean Drive,,305-455-3288
Other,720 Ocean Drive,,720 Ocean Drive,,720 Ocean Drive,,(305) 874-7920
Other,7ty One,7ty One,1130 Normandy Drive,,(f786) 495-5181
Other,Al Basha Grill,Al Basha Grill,1533 Washington Avenue,,786-216-7114
Other,Albion Hotel (restaurant),Albion Hotel (restaurant),1650 James Avenue,,305-913-1000
Other,Alma Mexicana,Alma Mexicana,1344 Washington Avenue,,305-695-0880
Other,Aroma Espresso Bar,Aroma Espresso Bar,1601 Collins Avenue,,305-397-8685
Other,Assi Llc. C/o Hayon, Zori P.,Assi Llc. C/o Hayon, Zori P.,1445 Washington Ave,,(305) 677-3977
Other,Athens Juice Bar,,Athens Juice Bar,,6942 Collins Avenue,,(305) 861-2143
Other,Azabu,Azabu,161 Ocean Drive,,(786) 276-0520
Other,Bagatelle,Bagatelle,1669 Collins Avenue,,305-704-3900
Other,Bagel Time,Bagel Time,3915 Alton Road,,(305) 538-0300
Other,Balkan Florida Llc,Balkan Florida Llc,1131 Collins Avenue,,(786) 558-4805
Other,Bar Centro,Bar Centro,1701 Collins Avenue,, (305) 674-1701
Other,Barceloneta Llc C/o Airam Garcia,Barceloneta Llc C/o Airam Garcia,1400 20th Street,,(305) 538-9299
Other,Basement,Basement,2901 Collins Avenue,,(786) 257-4548
Other,Bath Club Entertainment,,Bath Club Entertainment,,5937 Collins Avenue,,3058675938
Other,Beaches Bar & Grill / Sunrise Cafe,Beaches Bar & Grill / Sunrise Cafe,4299 Collins Avenue,,305-672-1910
Other,Beijing Cafe 6950,Beijing Cafe 6950,6950 Collins Avenue,,305-866-2855
Other,Bella Cuba,Bella Cuba,1659 Washington Avenue,,305-672-7466
Other,Big Pink,Big Pink,157 Collins Avenue,,(305) 532-4700
Other,Bk Whopper Bar,,Bk Whopper Bar,,1101 Washington Ave,,305-673-4560
Other,Bleau Bar,Bleau Bar,4441 Collins Avenue,,305-538-2000
Other,Blind Barber,Blind Barber,1825 Collins Avenue,,
Other,Blocks Pizza Deli,Blocks Pizza Deli,1447 Washington Avenue,,305-763-8788
Other,Blu Gin,Blu Gin,5445 Collins Avenue,,(305) 397-8687
Other,Bob's Your Uncle,Bob's Your Uncle,928 71st Street,,(786) 542-5366
Other,Bodega,Bodega,1220 16th Street,,305-704-2145
Other,Bodegon71,Bodegon71,1014 71st Street,,305-868-8009
Other,Boldva,Boldva,7349 Collins Avenue,,(305) 374-9852
Other,Bolivar Restaurant,Bolivar Restaurant,841 Washington Avenue,,305-305-0801
Other,Bros on the Beach,Bros on the Beach,2603 Collins Avenue,,(305) 535-6388
Other,Burbowl 3 Llc,Burbowl 3 Llc,860 Washington Avenue,,(305) 397-8468
Other,Burger King,Burger King,1100 5th Street,,(305) 531-3487
Other,Burger King,Burger King,910 W 41st Street,,305-674-8033
Other,Burgerfi,Burgerfi,6812 Collins Avenue,,786-803-8179
Other,Burgers & Shakes Inc C/o Iglesias, Maria E,Burgers & Shakes Inc C/o Iglesias, Maria E,7401 Collins Avenue,,305-866-1145
Other,Cafe Avanti,Cafe Avanti,732 W 41st Street,,305-538-4400
